ID,Produto,Grupo,Risk Indicator,Rank
ESC1088,Escavadeira,Demais,0.5375635337190221,3097.0
ESC1089,Escavadeira,Demais,0.49618190779684324,4123.0
ESC109,Escavadeira,Demais,0.5463691119292091,2722.0
ESC1090,Escavadeira,Demais,0.511457909890381,3629.0
ESC1091,Escavadeira,Demais,0.5099716771072031,3670.0
ESC1092,Escavadeira,Demais,0.5240549741331761,3491.0
ESC1093,Escavadeira,Demais,0.5441800676424526,2917.0
ESC1094,Escavadeira,Demais,0.5529230163135528,2454.0
ESC1095,Escavadeira,Demais,0.5979345780007335,1311.0
ESC1096,Escavadeira,Demais,0.4963893845693569,4109.0
ESC1097,Escavadeira,Demais,0.5894618277028754,1605.0
ESC1099,Escavadeira,Demais,0.5463831970219006,2718.0
ESC11,Escavadeira,Demais,0.5432968205787689,2987.0
ESC110,Escavadeira,Demais,0.5537154554864354,2406.0
ESC1100,Escavadeira,Demais,0.5530666744538053,2445.0
ESC1101,Escavadeira,Demais,0.5467996617766493,2661.0
ESC1102,Escavadeira,Demais,0.5600481642240646,2137.0
ESC1103,Escavadeira,Demais,0.5462247155811095,2746.0
ESC1104,Escavadeira,Demais,0.5442865065085598,2912.0
ESC1105,Escavadeira,Demais,0.5968381250655299,1341.0
ESC1106,Escavadeira,Demais,0.5067890416906093,3910.0
ESC1107,Escavadeira,Demais,0.5341294740140239,3167.0
ESC1108,Escavadeira,Demais,0.5975441954924132,1320.0
ESC1109,Escavadeira,Demais,0.5684747307035871,1867.0
ESC111,Escavadeira,Demais,0.5249155197431453,3459.0
ESC1110,Escavadeira,Demais,0.5390188198107513,3051.0
ESC1111,Escavadeira,Demais,0.5387312732034126,3060.0
ESC1113,Escavadeira,Demais,0.607519331612171,1089.0
ESC1114,Escavadeira,Demais,0.48343799603785087,4283.0
ESC1115,Escavadeira,Demais,0.5547639165289218,2345.0
ESC1116,Escavadeira,Demais,0.533464434978735,3211.0
ESC1117,Escavadeira,Demais,0.5431858071831872,2994.0
ESC1118,Escavadeira,Demais,0.6179885816865942,870.0
ESC1119,Escavadeira,Demais,0.5570607293797306,2214.0
ESC112,Escavadeira,Demais,0.5465148570866838,2699.0
ESC1120,Escavadeira,Demais,0.4960892783043056,4128.0
ESC1121,Escavadeira,Demais,0.6082150452382258,1061.0
ESC1122,Escavadeira,Demais,0.5467708451995552,2669.0
